YEAR,QUAD,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1984,4D1,1,12,541,3,5,0,0
1984,4D1,1,16,762,0,1,4,0
1984,4D1,2,3,012,0,2,4,0
1984,4D1,2,1,129,0,2,0,0
1984,4D1,2,7,316,0,2,0,0
1984,4D1,3,12,541,7,18,0,1
1984,4D1,3,16,762,0,1,0,0
1984,4D1,4,12,541,4,3,0,0
1984,4D2,1,3,012,0,0,10,0
1984,4D2,1,7,316,1,0,0,0
1984,4D2,2,13,315,0,1,0,0
1984,4D2,2,7,316,2,0,0,0
1984,4D2,3,3,012,0,1,2,0
1984,4D2,4,4,261,11,1,0,0
1984,4D2,4,5,833,0,1,1,0
1984,4D2,4,12,541,0,0,2,0
1984,4D3,1,12,541,0,1,2,0
1984,4D3,1,5,833,0,1,1,0
1984,4D3,2,0,000,0,0,0,0
1984,4D3,3,7,316,1,0,0,0
1984,4D3,3,8,371,0,2,0,0
1984,4D3,4,0,000,0,0,0,0
1984,4D4,1,3,012,0,2,1,0
1984,4D4,1,2,097,0,1,0,0
1984,4D4,1,7,316,1,10,2,0
1984,4D4,1,1,129,0,3,0,0
1984,4D4,1,8,371,0,0,1,0
1984,4D4,2,7,316,7,11,0,0
1984,4D4,2,1,129,2,0,0,0
1984,4D4,3,7,316,6,0,0,0
1984,4D4,3,5,833,0,1,0,0
1984,4D4,3,1,129,3,1,0,0
1984,4D4,4,5,833,1,2,0,0
1984,4D4,4,8,371,0,3,1,0
1984,4D4,4,7,316,2,1,0,0
1984,4D4,4,16,762,0,1,0,0
1984,5D1,1,3,012,0,0,3,0
1984,5D1,1,7,316,1,0,0,0
1984,5D1,2,3,012,0,1,1,2
1984,5D1,3,7,316,2,0,0,0
1984,5D1,3,3,012,0,1,0,0
1984,5D1,3,1,129,3,1,0,0
1984,5D1,4,3,012,0,1,2,1
1984,5D2,1,7,316,3,2,0,0
1984,5D2,1,1,129,1,0,0,0
1984,5D2,2,5,833,1,0,0,0
1984,5D2,2,7,316,1,0,0,0
1984,5D2,3,5,833,0,0,1,0
1984,5D2,4,5,833,0,0,1,0
1984,5D3,1,8,371,0,0,1,0
1984,5D3,1,3,012,0,0,1,0
1984,5D3,2,3,012,0,1,2,0
1984,5D3,3,7,316,0,6,0,1
1984,5D3,3,5,833,0,2,0,0
1984,5D3,3,3,012,0,1,0,0
1984,5D3,4,1,129,3,6,0,0
1984,5D3,4,7,316,1,0,0,0
1984,5D3,4,3,012,0,0,1,0
1984,5D3,4,5,833,0,2,0,0
1984,5D4,1,5,833,1,2,1,0
1984,5D4,1,1,129,0,0,1,0
1984,5D4,1,3,012,0,0,2,2
1984,5D4,1,7,316,1,0,0,0
1984,5D4,2,5,833,0,3,0,0
1984,5D4,3,7,316,1,1,0,0
1984,5D4,3,5,833,0,2,0,0
1984,5D4,3,1,129,0,2,1,0
1984,5D4,4,5,833,0,4,4,0
1984,5D4,4,7,316,7,0,0,0
1984,5D4,4,3,012,0,0,1,0
1984,5D4,4,1,129,0,2,0,0
1984,3E1,1,3,012,2,0,0,0
1984,3E1,1,1,129,1,0,0,0
1984,3E1,1,7,316,0,2,0,0
1984,3E1,1,12,541,0,2,0,0
1984,3E1,1,5,833,0,1,0,0
1984,3E1,2,7,316,4,3,0,0
1984,3E1,3,7,316,0,1,0,0
1984,3E1,4,0,000,0,0,0,0
1984,3E2,1,0,000,0,0,0,0
1984,3E2,2,5,833,0,2,0,0
1984,3E2,3,7,316,1,0,0,0
1984,3E2,4,7,316,6,2,0,0
1984,3E2,4,5,833,0,1,0,0
1984,3E2,4,8,371,0,1,0,0
1984,3E2,4,1,129,1,0,0,0
1984,3E3,1,7,316,10,11,1,0
1984,3E3,1,12,541,3,22,8,0
1984,3E3,1,1,129,1,0,0,0
1984,3E3,1,5,833,0,2,4,0
1984,3E3,2,12,541,4,33,12,0
1984,3E3,2,7,316,10,27,1,0
1984,3E3,2,5,833,0,1,0,0
1984,3E3,2,16,762,0,1,0,0
1984,3E3,2,1,129,0,1,0,0
1984,3E3,3,7,316,36,3,0,0
1984,3E3,3,5,833,0,1,0,0
1984,3E3,3,15,746,0,0,1,0
1984,3E3,4,12,541,1,3,0,0
1984,3E3,4,5,833,0,1,1,0
1984,3E4,1,1,129,0,1,0,0
1984,3E4,2,1,129,0,1,0,0
1984,3E4,2,6,802,1,1,0,0
1984,3E4,2,5,833,0,2,0,0
1984,3E4,2,12,541,0,1,2,1
1984,3E4,3,5,833,2,4,0,0
1984,3E4,3,3,012,1,0,0,0
1984,3E4,3,12,541,0,1,0,0
1984,3E4,3,1,129,1,0,0,0
1984,3E4,4,7,316,1,0,0,0
1984,4E1,1,7,316,0,2,0,0
1984,4E1,1,3,012,0,0,2,0
1984,4E1,1,1,129,1,0,0,0
1984,4E1,2,2,097,1,0,0,0
1984,4E1,2,7,316,3,0,0,0
1984,4E1,3,1,129,6,2,0,0
1984,4E1,3,7,316,2,0,0,0
1984,4E1,4,7,316,1,0,0,0
1984,4D1,4,1,129,3,0,0,0
1984,4E2,1,6,802,0,0,1,0
1984,4E2,1,5,833,0,1,0,0
1984,4E2,2,1,129,0,1,0,0
1984,4E2,3,1,129,0,1,0,0
1984,4E2,4,5,833,0,1,0,0
1984,4E2,4,8,371,0,0,2,0
1984,4E2,4,7,316,0,1,1,0
1984,4E3,1,7,316,6,0,0,0
1984,4E3,1,1,129,2,1,0,0
1984,4E3,2,7,316,0,1,1,0
1984,4E3,2,5,833,1,0,0,0
1984,4E3,3,7,316,4,3,0,0
1984,4E3,4,7,316,5,2,1,0
1984,4E3,4,1,129,0,3,0,0
1984,4E4,1,0,000,0,0,0,0
1984,4E4,2,0,000,0,0,0,0
1984,4E4,3,0,000,0,0,0,0
1984,4E4,4,0,000,0,0,0,0
1984,5E1,1,7,316,0,2,0,0
1984,5E1,2,1,129,0,0,0,1
1984,5E1,2,8,371,0,0,0,1
1984,5E1,3,1,129,2,0,0,0
1984,5E1,4,7,316,2,0,0,0
1984,5E2,1,12,541,1,4,1,0
1984,5E2,1,3,012,0,0,1,0
1984,5E2,2,12,541,0,0,1,0
1984,5E2,2,3,012,0,1,0,0
1984,5E2,2,7,316,3,0,0,0
1984,5E2,3,7,316,2,0,0,0
1984,5E2,3,29,502,2,5,0,0
