YEAR,TRAN,PLOT,SPEC,FIASP,DAM,SZ0,SZ1,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
1997,L02,8,1,129,0,8,1,0,1,0,1,1,0,0,0
1997,L02,8,5,833,2,2,0,0,0,0,0,0,0,0,0
1997,L02,2,5,833,0,0,0,0,0,0,0,0,0,1,0
1997,L02,2,5,833,2,1,0,0,0,0,0,0,0,0,0
1997,C26,4,2,097,0,0,0,0,1,0,0,0,0,0,0
1997,C26,3,2,097,0,1,0,0,0,0,0,0,0,0,1
1997,C26,3,5,833,2,1,0,0,0,0,0,0,0,0,0
1997,C26,1,2,097,0,2,0,0,0,0,0,0,0,0,0
1997,C27,1,5,833,2,1,0,0,0,0,0,0,0,0,0
1997,C27,2,3,012,0,1,0,0,0,0,0,0,0,0,0
1997,C27,2,7,316,0,0,0,1,0,0,0,0,0,0,0
1997,C27,4,7,316,0,0,0,0,0,0,1,0,0,0,0
1997,C27,4,4,261,0,1,0,0,0,0,0,0,0,0,0
1997,C27,4,2,097,0,0,0,0,0,0,1,1,0,1,0
1997,C27,3,7.1,316,0,1,1,0,2,0,0,0,0,0,0
1997,C27,3,2,097,0,1,0,0,0,1,1,0,0,0,0
1997,C46,1,5,833,3,1,0,0,0,0,0,0,0,0,0
1997,C46,1,7,316,0,0,0,1,0,1,0,0,0,0,0
1997,C25,1,3,012,0,0,0,0,1,0,0,0,0,0,0
1997,C25,1,4,261,0,0,1,0,0,0,0,1,0,0,0
1997,C25,1,6,802,2,1,0,0,0,0,0,0,0,0,0
1997,C25,1,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,C25,1,7.1,316,0,0,0,1,0,0,0,0,0,0,0
1997,C25,1,7,316,0,0,0,0,0,0,1,0,0,0,0
1997,C25,2,1,129,0,0,0,0,0,1,0,1,0,0,0
1997,C25,2,2,097,0,2,0,0,0,0,0,0,0,0,0
1997,C25,2,3,012,0,3,0,1,0,2,0,0,1,0,0
1997,C46,2,5,833,0,0,0,0,0,0,0,0,0,1,0
1997,T12,1,1,129,0,8,0,0,0,0,0,0,0,0,0
1997,T12,1,2,097,0,0,0,0,1,0,0,0,0,1,0
1997,T12,1,3,012,0,3,0,1,0,0,0,0,0,0,0
1997,C17,2,1,129,0,4,1,2,3,0,0,0,0,0,0
1997,C17,2,25.1,585,0,1,0,5,2,0,0,0,0,0,0
1997,C17,2,25,585,0,0,0,0,0,0,0,0,0,1,0
1997,C17,2,3,012,0,1,0,0,0,0,0,0,0,0,0
1997,C17,1,1,129,0,2,1,1,1,0,1,0,0,0,0
1997,C17,1,3,012,0,0,0,0,0,0,0,0,0,1,2
1997,C18,1,1,129,0,8,1,2,1,0,0,0,0,0,0
1997,C18,1,7,316,0,2,2,4,3,0,0,0,0,0,0
1997,C18,1,6,802,2,1,0,0,0,0,0,0,0,0,0
1997,C18,1,3,012,0,0,0,0,1,0,0,0,0,0,0
1997,C18,3,1,129,0,11,0,3,1,0,0,0,0,0,0
1997,C18,6,7,316,0,0,1,1,0,0,0,0,0,0,1
1997,C18,6,5,833,0,0,0,0,0,1,0,0,0,0,0
1997,C19,5,7,316,0,1,0,0,3,0,0,0,0,0,0
1997,C42,2,6,802,0,1,0,0,0,0,0,0,0,0,0
1997,T03,1,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,T03,1,4,261,0,0,1,0,1,0,1,1,0,1,0
1997,T02,2,7,316,0,1,1,0,1,0,0,1,0,0,0
1997,T02,2,25,585,0,2,1,0,3,1,0,0,0,0,0
1997,T02,2,1,129,0,2,0,1,1,1,0,0,0,0,0
1997,C15,5,1,129,0,1,0,0,0,0,1,0,1,0,0
1997,C15,5,7,316,0,1,0,0,0,0,0,0,0,0,0
1997,C15,5,5,833,0,0,0,0,0,0,0,1,0,0,0
1997,C15,3,7,316,0,2,3,1,1,0,0,0,0,0,0
1997,C15,3,5,833,0,0,0,0,0,0,0,0,1,1,0
1997,C15,2,3,012,0,3,0,0,0,0,0,0,0,0,0
1997,C15,2,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,C15,2,7,316,0,0,0,0,0,1,0,0,0,0,0
1997,C15,2,1,129,0,0,0,0,1,0,0,0,0,0,0
1997,C15,6,1,129,0,2,0,0,0,0,0,0,0,0,0
1997,C15,6,5,833,0,0,0,0,0,0,0,0,1,0,0
1997,C15,6,7,316,0,2,1,0,1,0,0,0,0,0,0
1997,C15,6,8,371,0,0,0,0,0,0,0,0,0,0,1
1997,C15,6,8,371,1,1,0,0,0,0,0,0,0,0,0
1997,C42,2,1,129,0,11,0,0,0,0,0,0,0,0,0
1997,C42,2,3,012,0,7,1,1,2,1,0,0,0,0,0
1997,C42,2,5,833,0,2,0,1,0,0,0,0,0,1,0
1997,C42,2,6.1,802,0,2,0,0,0,0,0,0,0,0,0
1997,C13,4,9,375,0,2,0,0,0,0,0,0,0,0,0
1997,C13,4,3,012,0,0,0,0,1,0,0,0,0,0,0
1997,L09,2,8,371,0,4,0,0,0,0,0,0,0,0,0
1997,L09,2,1,129,0,12,0,0,0,0,0,0,0,0,0
1997,L09,2,5,833,1,1,0,0,0,0,0,0,0,0,0
1997,C16,3,6,802,1,1,0,0,0,0,0,0,0,0,0
1997,C16,3,7,316,0,1,0,0,0,0,2,0,0,1,0
1997,C16,3,7.1,316,0,1,0,0,0,0,0,0,0,0,0
1997,C16,3,8,371,0,0,0,0,1,0,0,0,0,0,0
1997,C16,5,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,C16,1,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,C15,7,1,129,0,5,0,0,0,0,0,0,0,0,0
1997,C15,7,5.1,833,0,0,0,0,0,0,0,0,0,1,0
1997,C15,7,3,012,0,1,0,0,0,1,0,0,0,0,0
1997,C15,7,4,261,0,1,1,0,0,0,0,0,0,0,0
1997,C15,7,8,371,0,1,0,0,0,0,0,0,0,0,0
1997,C19,4,7,316,0,0,0,0,2,0,0,0,0,1,0
1997,C19,4,5,833,0,0,0,0,0,0,0,0,1,0,0
1997,C19,3,1,129,0,8,0,2,3,1,0,0,0,0,0
1997,C19,3,7,316,0,1,0,0,0,0,0,0,0,0,0
1997,C19,2,1,129,0,4,3,2,2,1,0,1,0,0,0
1997,C19,2,7,316,0,2,3,1,1,1,0,0,0,0,0
1997,C19,2,5,833,0,0,0,0,0,0,0,0,0,0,1
1997,C19,2,3,012,0,2,0,0,1,0,1,0,0,0,0
1997,C19,1,7,316,0,1,0,3,2,1,0,0,0,0,0
1997,C19,1,6,802,1,3,0,0,0,0,0,0,0,0,0
1997,C19,1,3,012,0,1,0,0,0,0,1,0,0,0,0
1997,C13,6,5,833,3,2,0,0,0,0,0,0,0,0,0
1997,C13,6,7,316,0,0,0,0,0,1,0,1,0,0,0
1997,C13,6,5,833,2,2,0,0,0,0,0,0,0,0,0
1997,C13,3,5,833,2,3,0,0,0,0,0,0,0,0,0
1997,C13,3,7,316,0,2,0,0,1,1,0,0,0,0,0
1997,C13,4,7,316,0,1,2,0,2,0,0,0,0,0,0
1997,L10,1,5,833,1,1,0,0,0,0,0,0,0,0,0
1997,L10,1,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,L10,1,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,L10,1,4,261,0,1,0,0,0,0,0,0,0,0,0
1997,L01,5,5,833,0,0,0,0,0,1,0,0,0,0,0
1997,L01,3,1,129,0,2,0,0,0,0,0,1,0,0,0
1997,L01,3,5,833,0,1,0,0,0,0,0,0,0,0,0
1997,L01,3,5,833,2,1,0,0,0,0,0,0,0,0,0
1997,L01,3,5,833,3,1,0,0,0,0,0,0,0,0,0
1997,L01,3,5,833,1,1,0,0,0,0,0,0,0,0,0
1997,L01,3,6,802,2,1,0,0,0,0,0,0,0,0,0
1997,L01,1,1,129,0,2,0,0,0,0,1,1,0,1,1
1997,L01,1,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,L01,2,1,129,0,1,0,0,0,0,1,0,0,0,0
1997,L02,5,9,375,0,1,0,0,0,0,1,0,0,0,0
1997,L02,5,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,L02,5,5,833,0,1,0,0,0,0,0,0,0,0,0
1997,H44,2,7,316,0,0,1,0,0,0,0,0,0,0,0
1997,H44,2,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,H44,2,25,585,0,9,0,2,0,0,0,0,0,0,0
1997,H44,2,10,379,0,1,0,0,0,0,0,0,0,0,0
1997,H33,1,5.1,833,0,0,1,4,2,0,0,1,0,0,0
1997,H33,1,7.1,316,0,0,1,2,0,0,0,0,0,0,0
1997,H33,1,4,261,0,1,0,0,0,0,0,0,0,0,0
1997,H33,1,25,585,0,1,0,0,0,0,0,0,0,0,0
1997,H33,1,1,129,0,2,0,0,0,0,0,0,0,0,0
1997,H33,4,1,129,1,20,0,0,2,0,0,0,0,0,0
1997,H33,4,5.1,833,1,3,0,0,0,0,0,0,0,0,0
1997,H33,4,5.1,833,0,0,0,2,1,0,0,0,0,0,0
1997,H33,4,5.1,833,2,3,1,0,0,0,0,0,0,0,0
1997,H33,4,25,585,0,8,0,2,0,0,0,0,0,0,0
1997,H33,4,7.1,316,0,1,1,2,3,1,0,0,0,0,0
1997,H33,4,4,261,0,1,0,0,0,1,0,0,0,0,0
1997,H33,4,7,316,0,1,0,0,0,0,0,0,0,0,0
1997,T09,2,12,541,0,2,2,0,0,0,0,0,0,0,0
1997,T09,2,5,833,2,2,0,0,0,0,0,0,0,0,0
1997,T09,2,2,097,0,2,0,0,0,0,0,0,0,0,0
1997,T09,2,6,802,1,1,0,0,0,0,0,0,0,0,0
1997,T09,2,12,541,2,1,0,0,0,0,0,0,0,0,0
1997,T09,2,6,802,2,2,0,0,0,0,0,0,0,0,0
1997,T09,2,1,129,0,3,0,0,0,0,0,0,0,0,0
1997,T09,2,3,012,0,0,0,0,0,0,0,0,1,0,0
1997,T10,1,2,097,0,2,0,0,0,0,0,0,0,0,0
1997,T10,1,5,833,2,6,0,0,0,0,0,0,0,0,0
1997,T10,1,12,541,0,1,0,1,0,0,0,0,0,0,0
1997,T10,1,12,541,2,3,0,0,0,0,0,0,0,0,0
1997,T10,1,6,802,2,1,0,0,0,0,0,0,0,0,0
1997,T10,1,12,541,3,1,0,0,0,0,0,0,0,0,0
1997,T10,1,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,T10,1,12.1,541,1,5,0,0,0,0,0,0,0,0,0
1997,T10,1,3,012,0,2,0,0,0,0,1,0,0,0,0
1997,T10,1,12.1,541,2,1,0,0,0,0,0,0,0,0,0
1997,C49,2,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,C49,2,8,371,0,1,0,0,0,0,0,0,0,0,0
1997,C49,2,3,012,0,0,0,0,0,0,0,0,0,1,0
1997,C49,1,3,012,0,0,0,0,0,0,0,0,1,0,0
1997,C49,1,5,833,2,1,0,0,0,0,0,0,0,0,0
1997,T11,2,1,129,0,11,0,0,0,0,0,0,0,0,0
1997,T11,2,5,833,1,1,0,0,0,0,0,0,0,0,0
1997,T11,2,5,833,2,1,0,0,0,0,0,0,0,0,0
1997,T11,2,3,012,0,0,0,0,0,0,0,0,0,1,0
1997,C22,2,3,012,0,1,0,0,1,0,0,0,0,0,0
1997,C22,2,25,585,0,3,0,0,0,0,0,0,0,0,0
1997,C22,4,3,012,0,6,0,0,0,0,0,0,0,0,0
1997,C22,4,8,371,0,2,0,0,0,0,0,0,0,0,0
1997,C22,6,7,316,0,0,0,0,0,0,0,0,0,1,0
1997,C22,6,3,012,0,1,0,0,0,0,0,0,0,0,0
1997,C44,1,3,012,0,0,1,0,0,0,0,0,0,0,0
1997,C44,1,25,585,0,1,0,0,0,0,0,0,0,0,0
1997,C44,2,25,585,0,3,0,0,0,0,0,0,0,0,0
1997,C44,2,7,316,0,2,1,0,0,0,0,0,1,0,0
1997,C44,2,3,012,0,6,0,0,0,0,0,0,0,0,0
1997,C45,1,3,012,0,1,0,0,1,0,0,0,0,0,0
1997,C45,1,25,585,0,0,3,1,1,0,0,0,0,0,0
1997,C45,1,7.1,316,0,0,3,0,0,0,0,0,0,0,0
1997,C45,2,3,012,0,3,0,1,0,1,1,0,0,0,1
1997,C21,1,3,012,0,3,0,1,6,2,1,1,1,0,0
1997,C21,1,11,531,0,0,1,0,0,0,0,0,0,0,0
1997,C21,1,7,316,0,0,0,1,0,0,0,0,0,0,0
1997,C21,1,7.1,316,0,1,0,0,0,0,0,0,0,0,0
1997,C21,1,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,C21,2,6.1,802,1,4,0,0,0,0,0,0,0,0,0
1997,C21,2,3,012,0,2,0,1,1,2,2,2,0,0,0
1997,C21,2,6,802,1,1,0,0,0,0,0,0,0,0,0
1997,C20,5,1,129,0,2,0,0,0,0,0,0,0,0,0
1997,C20,4,1,129,0,7,0,0,0,0,0,0,0,0,0
1997,C20,4,3,012,0,3,0,0,2,2,1,1,0,0,1
1997,C20,4,4,261,0,0,0,0,0,0,1,0,0,0,0
1997,C20,4,8,371,0,1,0,0,1,0,0,0,0,0,0
1997,C20,3,3,012,0,1,0,1,0,1,1,1,0,0,0
1997,C20,3,8,371,0,0,0,0,0,0,0,1,0,1,0
1997,C20,3,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,C20,3,6,802,1,1,0,0,0,0,0,0,0,0,0
1997,C20,1,7,316,0,0,0,2,0,1,0,0,0,0,0
1997,C20,1,3,012,0,3,0,1,0,1,0,0,0,0,0
1997,C20,1,4,261,0,0,0,0,1,0,0,0,0,0,0
1997,T13,1,3,012,0,7,0,0,0,0,0,1,0,0,0
1997,T13,1,1,129,0,21,0,3,1,0,0,0,0,0,0
1997,T13,1,7,316,0,1,0,0,1,0,0,0,0,0,0
1997,T13,1,4,261,0,3,0,1,0,0,0,0,0,0,0
1997,T14,1,1,129,0,5,0,0,0,0,0,0,0,1,0
1997,T14,2,4,261,0,1,0,0,0,0,0,0,0,0,0
1997,T14,2,3,012,0,1,0,2,1,0,1,0,0,0,0
1997,C55,5,4,261,0,1,0,0,0,0,0,0,0,0,0
1997,C55,5,5,833,0,0,0,2,0,0,0,0,1,0,0
1997,C55,5,7,316,0,0,0,0,1,1,0,0,0,0,0
1997,C55,2,8,371,0,0,0,0,0,0,0,1,0,0,0
1997,C55,2,4,261,0,0,0,0,1,0,0,0,0,0,0
1997,C54,6,25,585,0,3,0,0,0,0,0,0,0,0,0
1997,C54,6,4,261,0,0,0,0,0,0,1,0,0,0,0
1997,C54,6,8,371,0,0,0,0,0,1,0,0,0,0,0
1997,C54,6,3,012,0,0,0,0,0,0,0,0,0,1,0
1997,C54,4,25,585,0,3,0,0,2,0,0,0,0,0,0
1997,C54,4,3,012,0,1,0,0,0,1,1,0,0,0,0
1997,C54,4,2,097,0,0,0,0,0,1,1,0,0,0,0
1997,C54,4,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,C54,5,3,012,0,3,0,0,0,0,1,0,1,0,0
1997,C54,5,4,261,0,0,0,0,0,0,0,1,0,0,0
1997,C54,1,4,261,0,3,0,0,2,0,0,0,0,0,0
1997,C54,1,3,012,0,5,1,0,1,1,0,0,0,0,0
1997,C54,1,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,C23,4,1,129,0,5,0,0,0,0,0,0,0,0,0
1997,C23,4,3,012,0,2,0,0,1,1,0,0,0,0,0
1997,C23,4,8.1,371,0,4,0,0,0,0,0,0,0,0,0
1997,C23,4,8,371,0,0,0,1,0,0,0,0,0,0,0
1997,C23,1,3,012,0,2,0,0,1,0,0,0,0,0,0
1997,C23,1,8,371,0,0,0,0,0,0,1,0,0,0,0
1997,C23,1,8.1,371,0,1,0,0,0,0,0,0,0,0,0
1997,C23,1,1,129,0,0,0,0,0,0,0,2,0,0,0
1997,H17,1,25,585,0,3,1,2,0,0,0,0,0,0,0
1997,H17,1,7,316,0,1,1,0,0,0,0,0,0,0,0
1997,H17,2,7,316,0,1,0,0,0,0,0,0,0,0,0
1997,H17,2,25,585,0,1,0,1,0,0,2,0,0,0,0
1997,H17,2,7.1,316,0,2,0,0,0,0,0,0,0,0,0
1997,H17,5,1,129,0,3,0,0,0,0,0,0,0,0,0
1997,H17,5,7.1,316,0,0,2,0,0,0,0,0,0,0,0
1997,H18,3,7.1,316,0,3,0,2,0,0,0,0,0,0,0
1997,H18,3,1,129,0,2,0,0,0,0,0,0,0,0,0
1997,H18,3,7,316,0,2,1,0,0,0,0,0,0,0,0
1997,H18,3,4,261,0,1,0,0,0,0,0,0,0,0,0
1997,H18,3,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,H18,1,7.1,316,0,4,0,0,0,0,0,0,0,0,0
1997,H18,4,4,261,0,1,0,0,0,0,0,0,0,0,0
1997,H18,4,1,129,0,4,0,1,0,0,0,0,0,0,0
1997,H18,4,3,012,0,1,0,0,0,0,0,0,0,0,0
1997,H18,4,7,316,0,6,6,5,3,0,0,0,0,0,0
1997,C41,1,3,012,0,2,0,0,0,0,0,0,0,0,0
1997,C41,1,25,585,0,4,2,4,1,0,0,0,0,0,0
